"Domain","Base Domain","URL","Agency","Sources","Compliant with M-15-13 and BOD 18-01","Enforces HTTPS","Strict Transport Security (HSTS)","Free of RC4/3DES and SSLv2/SSLv3","3DES","RC4","SSLv2","SSLv3","Preloaded"
"handbook.18f.gov","18f.gov","https://handbook.18f.gov","General Services Administration","censys-snapshot, eot2016","Yes","Yes","Preloaded","Yes","No","No","No","No","No"
"iaa-forms.18f.gov","18f.gov","https://iaa-forms.18f.gov","General Services Administration","censys-snapshot","Yes","Yes","Preloaded","Yes","No","No","No","No","No"
"identity-dev-docs.18f.gov","18f.gov","https://identity-dev-docs.18f.gov","General Services Administration","censys-snapshot, dap","Yes","Yes","Preloaded","Yes","No","No","No","No","No"
"innovation-toolkit-prototype.18f.gov","18f.gov","https://innovation-toolkit-prototype.18f.gov","General Services Administration","censys-snapshot","Yes","Yes","Preloaded","Yes","No","No","No","No","No"
"jobs.18f.gov","18f.gov","http://jobs.18f.gov","General Services Administration","censys-snapshot","Yes","Yes","Preloaded","Yes","No","No","No","No","No"
"join.18f.gov","18f.gov","http://join.18f.gov","General Services Administration","censys-snapshot","Yes","Yes","Preloaded","Yes","No","No","No","No","No"
"lean-product-design.18f.gov","18f.gov","https://lean-product-design.18f.gov","General Services Administration","censys-snapshot","Yes","Yes","Preloaded","Yes","No","No","No","No","No"
"markdown-helper.18f.gov","18f.gov","https://markdown-helper.18f.gov","General Services Administration","censys-snapshot","Yes","Yes","Preloaded","Yes","No","No","No","No","No"
"methods.18f.gov","18f.gov","https://methods.18f.gov","General Services Administration","censys-snapshot, dap, eot2016","Yes","Yes","Preloaded","Yes","No","No","No","No","No"
"micropurchase.18f.gov","18f.gov","https://micropurchase.18f.gov","General Services Administration","censys-snapshot, eot2016","Yes","Yes","Preloaded","Yes","No","No","No","No","No"
"modularcontracting.18f.gov","18f.gov","https://modularcontracting.18f.gov","General Services Administration","censys-snapshot","Yes","Yes","Preloaded","Yes","No","No","No","No","No"
"open-source-guide.18f.gov","18f.gov","https://open-source-guide.18f.gov","General Services Administration","censys-snapshot","Yes","Yes","Preloaded","Yes","No","No","No","No","No"
"open-source-program.18f.gov","18f.gov","https://open-source-program.18f.gov","General Services Administration","censys-snapshot","Yes","Yes","Preloaded","Yes","No","No","No","No","No"
"pages.18f.gov","18f.gov","https://pages.18f.gov","General Services Administration","censys-snapshot, eot2016","Yes","Yes","Preloaded","Yes","No","No","No","No","No"
"paid-leave-prototype.18f.gov","18f.gov","https://paid-leave-prototype.18f.gov","General Services Administration","censys-snapshot","Yes","Yes","Preloaded","Yes","No","No","No","No","No"
"partnership-playbook.18f.gov","18f.gov","https://partnership-playbook.18f.gov","General Services Administration","censys-snapshot","Yes","Yes","Preloaded","Yes","No","No","No","No","No"
"performance-gov-research.18f.gov","18f.gov","https://performance-gov-research.18f.gov","General Services Administration","censys-snapshot","Yes","Yes","Preloaded","Yes","No","No","No","No","No"
"plain-language-tutorial.18f.gov","18f.gov","https://plain-language-tutorial.18f.gov","General Services Administration","censys-snapshot","Yes","Yes","Preloaded","Yes","No","No","No","No","No"
"private-eye.18f.gov","18f.gov","https://private-eye.18f.gov","General Services Administration","censys-snapshot","Yes","Yes","Preloaded","Yes","No","No","No","No","No"
"product-guide.18f.gov","18f.gov","https://product-guide.18f.gov","General Services Administration","censys-snapshot, dap","Yes","Yes","Preloaded","Yes","No","No","No","No","No"
"requests.18f.gov","18f.gov","https://requests.18f.gov","General Services Administration","censys-snapshot","Yes","Yes","Preloaded","Yes","No","No","No","No","No"
"site-162.sites-dev.federalist.18f.gov","18f.gov","https://site-162.sites-dev.federalist.18f.gov","General Services Administration","dap","Yes","Yes","Preloaded","Yes","No","No","No","No","No"
"slides.18f.gov","18f.gov","https://slides.18f.gov","General Services Administration","censys-snapshot","Yes","Yes","Preloaded","Yes","No","No","No","No","No"
"testing-cookbook.18f.gov","18f.gov","https://testing-cookbook.18f.gov","General Services Administration","censys-snapshot","Yes","Yes","Preloaded","Yes","No","No","No","No","No"
"tock.18f.gov","18f.gov","https://tock.18f.gov","General Services Administration","censys-snapshot, eot2016","Yes","Yes","Preloaded","Yes","No","No","No","No","Ready"
"ux-guide.18f.gov","18f.gov","https://ux-guide.18f.gov","General Services Administration","dap","Yes","Yes","Preloaded","Yes","No","No","No","No","No"
"writing-lab-guide.18f.gov","18f.gov","https://writing-lab-guide.18f.gov","General Services Administration","censys-snapshot","Yes","Yes","Preloaded","Yes","No","No","No","No","No"
"2020census.gov","2020census.gov","https://2020census.gov","Department of Commerce","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"fingerprint-adminportal.2020census.gov","2020census.gov","http://fingerprint-adminportal.2020census.gov","Department of Commerce","censys-snapshot","No","No","Yes","Yes","No","No","No","No","Ready"
"fingerprint-adminportal.stage.2020census.gov","2020census.gov","http://fingerprint-adminportal.stage.2020census.gov","Department of Commerce","censys-snapshot","No","No","Yes","Yes","No","No","No","No","Ready"
"fingerprint-checkin.2020census.gov","2020census.gov","http://fingerprint-checkin.2020census.gov","Department of Commerce","censys-snapshot","No","No","No","Yes","No","No","No","No","No"
"fingerprint.2020census.gov","2020census.gov","https://fingerprint.2020census.gov","Department of Commerce","censys-snapshot","No","No","No","","","","","","Ready"
"fingerprint.dev.2020census.gov","2020census.gov","https://fingerprint.dev.2020census.gov","Department of Commerce","censys-snapshot","No","No","No","","","","","","Ready"
"fingerprint.stage.2020census.gov","2020census.gov","https://fingerprint.stage.2020census.gov","Department of Commerce","censys-snapshot","No","No","No","","","","","","Ready"
"recruitment.2020census.gov","2020census.gov","https://recruitment.2020census.gov","Department of Commerce","censys-snapshot","No","Yes","No","Yes","No","No","No","No","No"
"recruitment.stage.2020census.gov","2020census.gov","https://recruitment.stage.2020census.gov","Department of Commerce","censys-snapshot","No","Yes","No","Yes","No","No","No","No","No"
"9-11commission.gov","9-11commission.gov","https://9-11commission.gov","National Archives and Records Administration","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"911.gov","911.gov","https://www.911.gov","Department of Transportation","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"resourcecenter.911.gov","911.gov","https://resourcecenter.911.gov","Department of Transportation","censys-snapshot, eot2016","No","No","Preloaded","","","","","","Ready"
"911commission.gov","911commission.gov","https://911commission.gov","National Archives and Records Administration","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"abandonedmines.gov","abandonedmines.gov","https://abandonedmines.gov","Department of the Interior","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"abilityone.gov","abilityone.gov","https://abilityone.gov","United States AbilityOne","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"autodiscover.abilityone.gov","abilityone.gov","http://autodiscover.abilityone.gov","United States AbilityOne","censys-snapshot","No","No","Preloaded","","","","","","No"
"distributor.abilityone.gov","abilityone.gov","https://distributor.abilityone.gov","United States AbilityOne","censys-snapshot, eot2016","Yes","Yes","Preloaded","Yes","No","No","No","No","Ready"
"jwodmail.abilityone.gov","abilityone.gov","https://jwodmail.abilityone.gov","United States AbilityOne","censys-snapshot, rdns-snapshot","Yes","Yes","Preloaded","Yes","No","No","No","No","Ready"
"pl.abilityone.gov","abilityone.gov","https://pl.abilityone.gov","United States AbilityOne","censys-snapshot, eot2016","Yes","Yes","Preloaded","Yes","No","No","No","No","Ready"
"plimsvote.abilityone.gov","abilityone.gov","https://plimsvote.abilityone.gov","United States AbilityOne","censys-snapshot, eot2016","Yes","Yes","Preloaded","Yes","No","No","No","No","Ready"
"plimsws.abilityone.gov","abilityone.gov","https://plimsws.abilityone.gov","United States AbilityOne","censys-snapshot","Yes","Yes","Preloaded","Yes","No","No","No","No","Ready"
"plimswsdev.abilityone.gov","abilityone.gov","https://plimswsdev.abilityone.gov","United States AbilityOne","censys-snapshot","Yes","Yes","Preloaded","Yes","No","No","No","No","No"
"vpn2.abilityone.gov","abilityone.gov","https://vpn2.abilityone.gov","United States AbilityOne","censys-snapshot, rdns-snapshot","Yes","Yes","Preloaded","Yes","No","No","No","No","No"
"abmc.gov","abmc.gov","http://www.abmc.gov","American Battle Monuments Commission","dotgov","No","No","No","Yes","No","No","No","No","Yes"
"webmail.abmc.gov","abmc.gov","https://webmail.abmc.gov","American Battle Monuments Commission","censys-snapshot, rdns-snapshot","Yes","Yes","Preloaded","Yes","No","No","No","No","No"
"access-board.gov","access-board.gov","https://www.access-board.gov","United States Access Board","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"cts.access-board.gov","access-board.gov","https://cts.access-board.gov","United States Access Board","censys-snapshot, eot2016","No","No","No","","","","","","No"
"sts.access-board.gov","access-board.gov","https://sts.access-board.gov","United States Access Board","censys-snapshot","No","Yes","No","No","Yes","Yes","No","Yes","No"
"accessibility.gov","accessibility.gov","https://accessibility.gov","General Services Administration","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"acf.gov","acf.gov","http://acf.gov","Department of Health and Human Services","dotgov","No","No","No","","","","","","No"
"achp.gov","achp.gov","https://www.achp.gov","Advisory Council on Historic Preservation","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"abledata.acl.gov","acl.gov","https://abledata.acl.gov","Department of Health and Human Services","censys-snapshot","Yes","Yes","Preloaded","Yes","No","No","No","No","No"
"acl.gov","acl.gov","https://acl.gov","Department of Health and Human Services","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"agid.acl.gov","acl.gov","https://agid.acl.gov","Department of Health and Human Services","eot2016, other","Yes","Yes","Preloaded","Yes","No","No","No","No","No"
"agidredirect.acl.gov","acl.gov","https://agidredirect.acl.gov","Department of Health and Human Services","other","Yes","Yes","Preloaded","Yes","No","No","No","No","Ready"
"ak3.acl.gov","acl.gov","http://ak3.acl.gov","Department of Health and Human Services","other","No","No","Preloaded","","","","","","No"
"aoa.acl.gov","acl.gov","https://aoa.acl.gov","Department of Health and Human Services","eot2016, other","Yes","Yes","Preloaded","Yes","No","No","No","No","No"
"apps.acl.gov","acl.gov","https://apps.acl.gov","Department of Health and Human Services","rdns-snapshot, eot2016, other","Yes","Yes","Preloaded","Yes","No","No","No","No","Ready"
"data.acl.gov","acl.gov","http://data.acl.gov","Department of Health and Human Services","eot2016, other","No","No","Preloaded","Yes","No","No","No","No","Ready"
"dev-nadrc.acl.gov","acl.gov","http://dev-nadrc.acl.gov","Department of Health and Human Services","other","No","No","Preloaded","","","","","","No"
"dev-olderindians.acl.gov","acl.gov","http://dev-olderindians.acl.gov","Department of Health and Human Services","other","No","No","Preloaded","","","","","","No"
"dev-oralhealth.acl.gov","acl.gov","http://dev-oralhealth.acl.gov","Department of Health and Human Services","other","No","No","Preloaded","","","","","","No"
"devagid.acl.gov","acl.gov","http://devagid.acl.gov","Department of Health and Human Services","other","No","No","Preloaded","Yes","No","No","No","No","No"
"devagingstats.acl.gov","acl.gov","http://devagingstats.acl.gov","Department of Health and Human Services","other","No","No","Preloaded","Yes","No","No","No","No","No"
"devapps.acl.gov","acl.gov","http://devapps.acl.gov","Department of Health and Human Services","other","No","No","Preloaded","Yes","No","No","No","No","No"
"develdercare.acl.gov","acl.gov","http://develdercare.acl.gov","Department of Health and Human Services","other","No","No","Preloaded","Yes","No","No","No","No","No"
"devlongtermcare.acl.gov","acl.gov","https://devlongtermcare.acl.gov","Department of Health and Human Services","other","Yes","Yes","Preloaded","Yes","No","No","No","No","Ready"
"devnadrc.acl.gov","acl.gov","https://devnadrc.acl.gov","Department of Health and Human Services","other","Yes","Yes","Preloaded","Yes","No","No","No","No","Ready"
"devncea.acl.gov","acl.gov","http://devncea.acl.gov","Department of Health and Human Services","other","No","No","Preloaded","Yes","No","No","No","No","No"
"devncler.acl.gov","acl.gov","http://devncler.acl.gov","Department of Health and Human Services","other","No","No","Preloaded","Yes","No","No","No","No","No"
"devnlrc.acl.gov","acl.gov","http://devnlrc.acl.gov","Department of Health and Human Services","other","No","No","Preloaded","Yes","No","No","No","No","No"
"devnwd.acl.gov","acl.gov","http://devnwd.acl.gov","Department of Health and Human Services","other","No","No","Preloaded","Yes","No","No","No","No","No"
"devnwdmt.acl.gov","acl.gov","http://devnwdmt.acl.gov","Department of Health and Human Services","other","No","No","Preloaded","Yes","No","No","No","No","No"
"devoam.acl.gov","acl.gov","http://devoam.acl.gov","Department of Health and Human Services","other","No","No","Preloaded","Yes","No","No","No","No","No"
"devolderindians.acl.gov","acl.gov","https://devolderindians.acl.gov","Department of Health and Human Services","other","Yes","Yes","Preloaded","Yes","No","No","No","No","Ready"
"devoralhealth.acl.gov","acl.gov","http://devoralhealth.acl.gov","Department of Health and Human Services","other","No","No","Preloaded","Yes","No","No","No","No","No"
"devtbi.acl.gov","acl.gov","http://devtbi.acl.gov","Department of Health and Human Services","other","No","No","Preloaded","Yes","No","No","No","No","No"
"devweaad.acl.gov","acl.gov","http://devweaad.acl.gov","Department of Health and Human Services","other","No","No","Preloaded","Yes","No","No","No","No","No"
"eldercare.acl.gov","acl.gov","https://eldercare.acl.gov","Department of Health and Human Services","censys-snapshot","Yes","Yes","Preloaded","Yes","No","No","No","No","Ready"
"icdr.acl.gov","acl.gov","http://icdr.acl.gov","Department of Health and Human Services","censys-snapshot, eot2016, other","No","No","Preloaded","Yes","No","No","No","No","No"
"longtermcare.acl.gov","acl.gov","https://longtermcare.acl.gov","Department of Health and Human Services","other","Yes","Yes","Preloaded","Yes","No","No","No","No","Ready"
"mis.acl.gov","acl.gov","https://mis.acl.gov","Department of Health and Human Services","censys-snapshot, other","Yes","Yes","Preloaded","Yes","No","No","No","No","Ready"
"nadrc.acl.gov","acl.gov","https://nadrc.acl.gov","Department of Health and Human Services","censys-snapshot, other","Yes","Yes","Preloaded","Yes","No","No","No","No","Ready"
"ncea.acl.gov","acl.gov","https://ncea.acl.gov","Department of Health and Human Services","eot2016, other","Yes","Yes","Preloaded","Yes","No","No","No","No","No"
"noa.acl.gov","acl.gov","http://www.noa.acl.gov","Department of Health and Human Services","other","No","No","Preloaded","","","","","","No"
"nwdmt.acl.gov","acl.gov","https://nwdmt.acl.gov","Department of Health and Human Services","rdns-snapshot","Yes","Yes","Preloaded","Yes","No","No","No","No","Ready"
"oaaps-pilot.acl.gov","acl.gov","https://www.oaaps-pilot.acl.gov","Department of Health and Human Services","other","No","Yes","Preloaded","No","Yes","No","No","No","No"
"oam.acl.gov","acl.gov","https://oam.acl.gov","Department of Health and Human Services","eot2016, other","Yes","Yes","Preloaded","Yes","No","No","No","No","Ready"
"olderindians.acl.gov","acl.gov","https://olderindians.acl.gov","Department of Health and Human Services","rdns-snapshot, eot2016, other","Yes","Yes","Preloaded","Yes","No","No","No","No","Ready"
"refreshmis.acl.gov","acl.gov","http://refreshmis.acl.gov","Department of Health and Human Services","other","No","No","Preloaded","Yes","No","No","No","No","No"
"registerolderindians.acl.gov","acl.gov","https://registerolderindians.acl.gov","Department of Health and Human Services","other","Yes","Yes","Preloaded","Yes","No","No","No","No","Ready"
"reporting-pilot.acl.gov","acl.gov","http://reporting-pilot.acl.gov","Department of Health and Human Services","other","No","No","Preloaded","Yes","No","No","No","No","Ready"
"sirs.acl.gov","acl.gov","https://sirs.acl.gov","Department of Health and Human Services","censys-snapshot","Yes","Yes","Preloaded","Yes","No","No","No","No","No"
"smpship.acl.gov","acl.gov","https://smpship.acl.gov","Department of Health and Human Services","censys-snapshot","Yes","Yes","Preloaded","Yes","No","No","No","No","No"
"stagealzheimers.acl.gov","acl.gov","http://stagealzheimers.acl.gov","Department of Health and Human Services","other","No","No","Preloaded","Yes","No","No","No","No","No"
"stageaoa.acl.gov","acl.gov","http://stageaoa.acl.gov","Department of Health and Human Services","other","No","No","Preloaded","Yes","No","No","No","No","No"
"stageapps.acl.gov","acl.gov","http://stageapps.acl.gov","Department of Health and Human Services","other","No","No","Preloaded","Yes","No","No","No","No","No"
"stagedirectory.acl.gov","acl.gov","http://stagedirectory.acl.gov","Department of Health and Human Services","other","No","No","Preloaded","Yes","No","No","No","No","No"
"stageeldercare.acl.gov","acl.gov","http://stageeldercare.acl.gov","Department of Health and Human Services","other","No","No","Preloaded","Yes","No","No","No","No","Ready"
"stageeldercare2.acl.gov","acl.gov","http://stageeldercare2.acl.gov","Department of Health and Human Services","other","No","No","Preloaded","Yes","No","No","No","No","No"
"stageeldercare3.acl.gov","acl.gov","http://stageeldercare3.acl.gov","Department of Health and Human Services","other","No","No","Preloaded","Yes","No","No","No","No","No"
"stagemis.acl.gov","acl.gov","http://stagemis.acl.gov","Department of Health and Human Services","other","No","No","Preloaded","Yes","No","No","No","No","No"
"stagenadrc.acl.gov","acl.gov","https://stagenadrc.acl.gov","Department of Health and Human Services","rdns-snapshot","Yes","Yes","Preloaded","Yes","No","No","No","No","Ready"
"stagencea.acl.gov","acl.gov","http://stagencea.acl.gov","Department of Health and Human Services","other","No","No","Preloaded","Yes","No","No","No","No","No"
"stagencler.acl.gov","acl.gov","http://stagencler.acl.gov","Department of Health and Human Services","other","No","No","Preloaded","Yes","No","No","No","No","No"
"stagenlrc.acl.gov","acl.gov","http://stagenlrc.acl.gov","Department of Health and Human Services","other","No","No","Preloaded","Yes","No","No","No","No","No"
"stagenoa.acl.gov","acl.gov","https://stagenoa.acl.gov","Department of Health and Human Services","other","Yes","Yes","Preloaded","Yes","No","No","No","No","Ready"
"stagenwdmt.acl.gov","acl.gov","http://stagenwdmt.acl.gov","Department of Health and Human Services","other","No","No","Preloaded","Yes","No","No","No","No","No"
"stageoam.acl.gov","acl.gov","http://stageoam.acl.gov","Department of Health and Human Services","other","No","No","Preloaded","Yes","No","No","No","No","No"
"stageolderindians2.acl.gov","acl.gov","https://stageolderindians2.acl.gov","Department of Health and Human Services","other","Yes","Yes","Preloaded","Yes","No","No","No","No","Ready"
"stageoralhealth.acl.gov","acl.gov","http://stageoralhealth.acl.gov","Department of Health and Human Services","other","No","No","Preloaded","Yes","No","No","No","No","No"
"stageskywalker.acl.gov","acl.gov","http://stageskywalker.acl.gov","Department of Health and Human Services","other","No","No","Preloaded","Yes","No","No","No","No","No"
"stageweaad.acl.gov","acl.gov","http://stageweaad.acl.gov","Department of Health and Human Services","other","No","No","Preloaded","Yes","No","No","No","No","No"
"stagewwwaclgov2.acl.gov","acl.gov","http://stagewwwaclgov2.acl.gov","Department of Health and Human Services","other","No","No","Preloaded","Yes","No","No","No","No","No"
"stars.acl.gov","acl.gov","https://stars.acl.gov","Department of Health and Human Services","censys-snapshot","Yes","Yes","Preloaded","Yes","No","No","No","No","No"
"tbi.acl.gov","acl.gov","https://tbi.acl.gov","Department of Health and Human Services","other","Yes","Yes","Preloaded","Yes","No","No","No","No","Ready"
"weaad.acl.gov","acl.gov","http://www.weaad.acl.gov","Department of Health and Human Services","other","No","No","Preloaded","","","","","","No"
"acquisition.gov","acquisition.gov","https://www.acquisition.gov","General Services Administration","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"login.acquisition.gov","acquisition.gov","http://login.acquisition.gov","General Services Administration","dap","No","No","Preloaded","Yes","No","No","No","No","Ready"
"origin-www.acquisition.gov","acquisition.gov","https://origin-www.acquisition.gov","General Services Administration","dap","Yes","Yes","Preloaded","Yes","No","No","No","No","Ready"
"acus.gov","acus.gov","https://www.acus.gov","Administrative Conference of the United States","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"autodiscover.acus.gov","acus.gov","http://autodiscover.acus.gov","Administrative Conference of the United States","censys-snapshot","No","No","Preloaded","","","","","","No"
"acwi.gov","acwi.gov","https://acwi.gov","Department of the Interior","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"ada.gov","ada.gov","https://www.ada.gov","Department of Justice","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"search.ada.gov","ada.gov","https://search.ada.gov","Department of Justice","censys-snapshot, dap, eot2016","Yes","Yes","Preloaded","Yes","No","No","No","No","Ready"
"adf.gov","adf.gov","http://adf.gov","United States African Development Foundation","dotgov","No","No","No","","","","","","No"
"0sud2zwje3.adlnet.gov","adlnet.gov","http://www.0sud2zwje3.adlnet.gov","Department of Defense","eot2016","No","No","No","","","","","","No"
