website,base_domain,url,branch,agency,agency_code,bureau,bureau_code
18f.gov,18f.gov,https://18f.gov,Executive,General Services Administration,23,"GSA,FAS,Technology Transformation Service",10
accessibility.18f.gov,18f.gov,https://accessibility.18f.gov,Executive,General Services Administration,23,"GSA,FAS,Technology Transformation Service",10
acqstack-journeymap.18f.gov,18f.gov,https://acqstack-journeymap.18f.gov,Executive,General Services Administration,23,"GSA,FAS,Technology Transformation Service",10
ads.18f.gov,18f.gov,https://ads.18f.gov,Executive,General Services Administration,23,"GSA,FAS,Technology Transformation Service",10
agile-bpa.18f.gov,18f.gov,https://agile-bpa.18f.gov,Executive,General Services Administration,23,"GSA,FAS,Technology Transformation Service",10
agile-labor-categories.18f.gov,18f.gov,https://agile-labor-categories.18f.gov,Executive,General Services Administration,23,"GSA,FAS,Technology Transformation Service",10
agile.18f.gov,18f.gov,https://agile.18f.gov,Executive,General Services Administration,23,"GSA,FAS,Technology Transformation Service",10
api-all-the-x.18f.gov,18f.gov,https://api-all-the-x.18f.gov,Executive,General Services Administration,23,"GSA,FAS,Technology Transformation Service",10
api-program.18f.gov,18f.gov,https://api-program.18f.gov,Executive,General Services Administration,23,"GSA,FAS,Technology Transformation Service",10
api-usability-testing.18f.gov,18f.gov,https://api-usability-testing.18f.gov,Executive,General Services Administration,23,"GSA,FAS,Technology Transformation Service",10
atf-eregs.18f.gov,18f.gov,https://atf-eregs.18f.gov,Executive,General Services Administration,23,"GSA,FAS,Technology Transformation Service",10
atul-docker-presentation.18f.gov,18f.gov,https://atul-docker-presentation.18f.gov,Executive,General Services Administration,23,"GSA,FAS,Technology Transformation Service",10
automated-testing-playbook.18f.gov,18f.gov,https://automated-testing-playbook.18f.gov,Executive,General Services Administration,23,"GSA,FAS,Technology Transformation Service",10
before-you-ship.18f.gov,18f.gov,https://before-you-ship.18f.gov,Executive,General Services Administration,23,"GSA,FAS,Technology Transformation Service",10
blogging-guide.18f.gov,18f.gov,https://blogging-guide.18f.gov,Executive,General Services Administration,23,"GSA,FAS,Technology Transformation Service",10
boise.18f.gov,18f.gov,https://boise.18f.gov,Executive,General Services Administration,23,"GSA,FAS,Technology Transformation Service",10
brand.18f.gov,18f.gov,https://brand.18f.gov,Executive,General Services Administration,23,"GSA,FAS,Technology Transformation Service",10
c2.18f.gov,18f.gov,http://c2.18f.gov,Executive,General Services Administration,23,"GSA,FAS,Technology Transformation Service",10
cap.18f.gov,18f.gov,https://cap.18f.gov,Executive,General Services Administration,23,"GSA,FAS,Technology Transformation Service",10
charlie.18f.gov,18f.gov,https://charlie.18f.gov,Executive,General Services Administration,23,"GSA,FAS,Technology Transformation Service",10
chat.18f.gov,18f.gov,https://chat.18f.gov,Executive,General Services Administration,23,"GSA,FAS,Technology Transformation Service",10
climate-data-user-study.18f.gov,18f.gov,https://climate-data-user-study.18f.gov,Executive,General Services Administration,23,"GSA,FAS,Technology Transformation Service",10
compliance-viewer.18f.gov,18f.gov,https://compliance-viewer.18f.gov,Executive,General Services Administration,23,"GSA,FAS,Technology Transformation Service",10
content-guide.18f.gov,18f.gov,https://content-guide.18f.gov,Executive,General Services Administration,23,"GSA,FAS,Technology Transformation Service",10
continua11y.18f.gov,18f.gov,https://continua11y.18f.gov,Executive,General Services Administration,23,"GSA,FAS,Technology Transformation Service",10
contracting-cookbook.18f.gov,18f.gov,https://contracting-cookbook.18f.gov,Executive,General Services Administration,23,"GSA,FAS,Technology Transformation Service",10
design-principles-guide.18f.gov,18f.gov,https://design-principles-guide.18f.gov,Executive,General Services Administration,23,"GSA,FAS,Technology Transformation Service",10
digital-acquisition-playbook.18f.gov,18f.gov,https://digital-acquisition-playbook.18f.gov,Executive,General Services Administration,23,"GSA,FAS,Technology Transformation Service",10
digitalaccelerator.18f.gov,18f.gov,https://digitalaccelerator.18f.gov,Executive,General Services Administration,23,"GSA,FAS,Technology Transformation Service",10
dolores-app.18f.gov,18f.gov,https://dolores-app.18f.gov,Executive,General Services Administration,23,"GSA,FAS,Technology Transformation Service",10
dolores-staging.18f.gov,18f.gov,https://dolores-staging.18f.gov,Executive,General Services Administration,23,"GSA,FAS,Technology Transformation Service",10
eng-hiring.18f.gov,18f.gov,https://eng-hiring.18f.gov,Executive,General Services Administration,23,"GSA,FAS,Technology Transformation Service",10
federalist-docs-staging.18f.gov,18f.gov,https://federalist-docs-staging.18f.gov,Executive,General Services Administration,23,"GSA,FAS,Technology Transformation Service",10
federalist-docs.18f.gov,18f.gov,https://federalist-docs.18f.gov,Executive,General Services Administration,23,"GSA,FAS,Technology Transformation Service",10
federalist-landing-template.18f.gov,18f.gov,https://federalist-landing-template.18f.gov,Executive,General Services Administration,23,"GSA,FAS,Technology Transformation Service",10
federalist-modern-team-template.18f.gov,18f.gov,https://federalist-modern-team-template.18f.gov,Executive,General Services Administration,23,"GSA,FAS,Technology Transformation Service",10
federalist-report-template.18f.gov,18f.gov,https://federalist-report-template.18f.gov,Executive,General Services Administration,23,"GSA,FAS,Technology Transformation Service",10
federalist-staging.18f.gov,18f.gov,https://federalist-staging.18f.gov,Executive,General Services Administration,23,"GSA,FAS,Technology Transformation Service",10
federalist.18f.gov,18f.gov,https://federalist.18f.gov,Executive,General Services Administration,23,"GSA,FAS,Technology Transformation Service",10
federalistapp.18f.gov,18f.gov,https://federalistapp.18f.gov,Executive,General Services Administration,23,"GSA,FAS,Technology Transformation Service",10
fedspendingtransparency.18f.gov,18f.gov,https://fedspendingtransparency.18f.gov,Executive,General Services Administration,23,"GSA,FAS,Technology Transformation Service",10
frontend.18f.gov,18f.gov,https://frontend.18f.gov,Executive,General Services Administration,23,"GSA,FAS,Technology Transformation Service",10
fugacious.18f.gov,18f.gov,https://fugacious.18f.gov,Executive,General Services Administration,23,"GSA,FAS,Technology Transformation Service",10
govconnect.18f.gov,18f.gov,https://govconnect.18f.gov,Executive,General Services Administration,23,"GSA,FAS,Technology Transformation Service",10
grouplet-playbook.18f.gov,18f.gov,https://grouplet-playbook.18f.gov,Executive,General Services Administration,23,"GSA,FAS,Technology Transformation Service",10
guides-template.18f.gov,18f.gov,https://guides-template.18f.gov,Executive,General Services Administration,23,"GSA,FAS,Technology Transformation Service",10
guides.18f.gov,18f.gov,https://guides.18f.gov,Executive,General Services Administration,23,"GSA,FAS,Technology Transformation Service",10
handbook.18f.gov,18f.gov,https://handbook.18f.gov,Executive,General Services Administration,23,"GSA,FAS,Technology Transformation Service",10
iaa-forms.18f.gov,18f.gov,https://iaa-forms.18f.gov,Executive,General Services Administration,23,"GSA,FAS,Technology Transformation Service",10
identity-dev-docs.18f.gov,18f.gov,https://identity-dev-docs.18f.gov,Executive,General Services Administration,23,"GSA,FAS,Technology Transformation Service",10
innovation-toolkit-prototype.18f.gov,18f.gov,https://innovation-toolkit-prototype.18f.gov,Executive,General Services Administration,23,"GSA,FAS,Technology Transformation Service",10
jobs.18f.gov,18f.gov,http://jobs.18f.gov,Executive,General Services Administration,23,"GSA,FAS,Technology Transformation Service",10
join.18f.gov,18f.gov,http://join.18f.gov,Executive,General Services Administration,23,"GSA,FAS,Technology Transformation Service",10
lean-product-design.18f.gov,18f.gov,https://lean-product-design.18f.gov,Executive,General Services Administration,23,"GSA,FAS,Technology Transformation Service",10
markdown-helper.18f.gov,18f.gov,https://markdown-helper.18f.gov,Executive,General Services Administration,23,"GSA,FAS,Technology Transformation Service",10
methods.18f.gov,18f.gov,https://methods.18f.gov,Executive,General Services Administration,23,"GSA,FAS,Technology Transformation Service",10
micropurchase.18f.gov,18f.gov,https://micropurchase.18f.gov,Executive,General Services Administration,23,"GSA,FAS,Technology Transformation Service",10
modularcontracting.18f.gov,18f.gov,https://modularcontracting.18f.gov,Executive,General Services Administration,23,"GSA,FAS,Technology Transformation Service",10
open-source-guide.18f.gov,18f.gov,https://open-source-guide.18f.gov,Executive,General Services Administration,23,"GSA,FAS,Technology Transformation Service",10
open-source-program.18f.gov,18f.gov,https://open-source-program.18f.gov,Executive,General Services Administration,23,"GSA,FAS,Technology Transformation Service",10
pages.18f.gov,18f.gov,https://pages.18f.gov,Executive,General Services Administration,23,"GSA,FAS,Technology Transformation Service",10
paid-leave-prototype.18f.gov,18f.gov,https://paid-leave-prototype.18f.gov,Executive,General Services Administration,23,"GSA,FAS,Technology Transformation Service",10
partnership-playbook.18f.gov,18f.gov,https://partnership-playbook.18f.gov,Executive,General Services Administration,23,"GSA,FAS,Technology Transformation Service",10
performance-gov-research.18f.gov,18f.gov,https://performance-gov-research.18f.gov,Executive,General Services Administration,23,"GSA,FAS,Technology Transformation Service",10
plain-language-tutorial.18f.gov,18f.gov,https://plain-language-tutorial.18f.gov,Executive,General Services Administration,23,"GSA,FAS,Technology Transformation Service",10
private-eye.18f.gov,18f.gov,https://private-eye.18f.gov,Executive,General Services Administration,23,"GSA,FAS,Technology Transformation Service",10
product-guide.18f.gov,18f.gov,https://product-guide.18f.gov,Executive,General Services Administration,23,"GSA,FAS,Technology Transformation Service",10
requests.18f.gov,18f.gov,https://requests.18f.gov,Executive,General Services Administration,23,"GSA,FAS,Technology Transformation Service",10
site-162.sites-dev.federalist.18f.gov,18f.gov,https://site-162.sites-dev.federalist.18f.gov,Executive,General Services Administration,23,"GSA,FAS,Technology Transformation Service",10
slides.18f.gov,18f.gov,https://slides.18f.gov,Executive,General Services Administration,23,"GSA,FAS,Technology Transformation Service",10
testing-cookbook.18f.gov,18f.gov,https://testing-cookbook.18f.gov,Executive,General Services Administration,23,"GSA,FAS,Technology Transformation Service",10
tock.18f.gov,18f.gov,https://tock.18f.gov,Executive,General Services Administration,23,"GSA,FAS,Technology Transformation Service",10
ux-guide.18f.gov,18f.gov,https://ux-guide.18f.gov,Executive,General Services Administration,23,"GSA,FAS,Technology Transformation Service",10
writing-lab-guide.18f.gov,18f.gov,https://writing-lab-guide.18f.gov,Executive,General Services Administration,23,"GSA,FAS,Technology Transformation Service",10
2020census.gov,2020census.gov,https://2020census.gov,Executive,Department of Commerce,6,U.S. Census Bureau,7
fingerprint-adminportal.2020census.gov,2020census.gov,http://fingerprint-adminportal.2020census.gov,Executive,Department of Commerce,6,U.S. Census Bureau,7
fingerprint-adminportal.stage.2020census.gov,2020census.gov,http://fingerprint-adminportal.stage.2020census.gov,Executive,Department of Commerce,6,U.S. Census Bureau,7
fingerprint-checkin.2020census.gov,2020census.gov,http://fingerprint-checkin.2020census.gov,Executive,Department of Commerce,6,U.S. Census Bureau,7
fingerprint.2020census.gov,2020census.gov,https://fingerprint.2020census.gov,Executive,Department of Commerce,6,U.S. Census Bureau,7
fingerprint.dev.2020census.gov,2020census.gov,https://fingerprint.dev.2020census.gov,Executive,Department of Commerce,6,U.S. Census Bureau,7
